Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
testosterone base,3,4,8100,12,2.70,https://steroids-uk.com/blog/testosterone-base-vs-testosterone-suspension-explained/,243,13.31,656.00,0.33,0,"0, 5, 0, 0, 0, 66, 81, 24, 81, 8, 66, 100",2026-09-12,"People also ask, Related searches, AI overview",informational,Organic
clenbuterol tablet,9,9,3600,64,0.00,https://steroids-uk.com/product-category/clenbuterol/,32,1.75,0.00,0,0,"36, 36, 43, 54, 81, 54, 81, 100, 43, 36, 0, 54",2026-09-03,"Reviews, Image, People also ask, Related searches, AI overview",informational,Organic
buy steroids uk,12,12,2900,50,0.00,https://steroids-uk.com/,37,2.02,0.00,0,0,"28, 36, 43, 43, 66, 28, 24, 28, 43, 100, 43, 43",2026-09-03,Reviews,transactional,Organic
kamagra kamagra,17,17,2900,55,2.56,https://steroids-uk.com/product-category/kamagra/,4,0.21,10.00,1,0,"0, 0, 43, 2, 0, 81, 54, 54, 81, 81, 24, 66",2026-09-01,"Sitelinks, AMP, Featured images, People also ask, Related searches, AI overview",informational,Organic
testosterone cypionate,17,17,2900,61,3.05,https://steroids-uk.com/shop/testosterone-cypionate-proper-labs/,4,0.21,12.00,0.21,0,"66, 100, 80, 80, 80, 80, 66, 80, 66, 80, 80, 100",2026-07-24,"Sitelinks, Image, Featured images, People also ask, Related searches, AI overview",informational,Organic
clen pills,11,11,2900,67,1.37,https://steroids-uk.com/product-category/clenbuterol/,26,1.42,35.00,0.21,0,"81, 100, 43, 1, 43, 81, 81, 43, 43, 81, 65, 65",2026-07-26,"Sitelinks, Reviews, People also ask, AI overview",informational,Organic
uk steroid shop,5,5,2400,43,1.27,https://steroids-uk.com/product-category/injectable/,105,5.75,133.00,0.02,0,"65, 65, 36, 54, 65, 100, 43, 43, 65, 36, 43, 100",2026-08-15,,commercial,Organic
steroid shop uk,14,14,1600,44,1.04,https://steroids-uk.com/product-category/injectable/,11,0.6,11.00,0.03,0,"52, 44, 52, 44, 44, 44, 13, 44, 24, 16, 52, 52",2026-08-09,,commercial,Organic
test 400,3,3,1600,9,1.51,https://steroids-uk.com/blog/test-400/,104,5.69,157.00,0.34,0,"68, 84, 100, 100, 84, 84, 84, 84, 52, 100, 68, 100",2026-07-23,"People also ask, Popular products, Related searches",informational,Organic
test 400,1,1,1600,9,1.51,https://steroids-uk.com/shop/tri-test-400-spharmaqo-labs/,396,21.69,597.00,0.34,0,"68, 84, 100, 100, 84, 84, 84, 84, 52, 100, 68, 100",2026-07-23,"People also ask, Popular products, Related searches",informational,Organic
kamagra uk,14,14,1600,61,2.63,https://steroids-uk.com/shop/shopkamagra-jelly/,1,0.05,2.00,1,0,"24, 29, 24, 29, 24, 29, 24, 29, 24, 29, 29, 29",2026-08-17,"Sitelinks, Video, People also ask, Related searches","informational, navigational",Organic
kamagra 100mg,18,18,1600,54,2.20,https://steroids-uk.com/shop/shopkamagra-jelly/,2,0.1,4.00,1,0,"41, 54, 66, 66, 66, 79, 66, 66, 54, 66, 54, 66",2026-08-13,"Sitelinks, AMP, Featured images, People also ask, Related searches, AI overview",informational,Organic
uksteroids.shop,5,5,1600,57,2.96,https://steroids-uk.com/,16,0.87,47.00,0.02,0,"0, 0, 100, 81, 53, 16, 0, 0, 0, 0, 100, 0",2026-09-10,"Local pack, Sitelinks, Reviews",commercial,Organic
uk steroids shop,3,3,1600,48,1.27,https://steroids-uk.com/product-category/injectable/,28,1.53,35.00,0.02,0,"36, 36, 54, 22, 29, 54, 36, 16, 29, 43, 29, 54",2026-08-10,Sitelinks,"commercial, navigational",Organic
kamagra oral jelly 100mg,17,17,1300,51,0.00,https://steroids-uk.com/shop/shopkamagra-jelly/,1,0.05,0.00,0,0,"81, 81, 81, 62, 81, 100, 81, 81, 62, 81, 81, 1",2026-09-02,"Sitelinks, Reviews, AMP, Featured images, People also ask, Related searches, AI overview",informational,Organic
steroidsuk,8,8,1300,41,0.73,https://steroids-uk.com/product-category/steroids-warehouse-uk/,31,1.69,22.00,0.04,0,"44, 13, 16, 44, 82, 55, 44, 65, 82, 34, 11, 34",2026-08-07,AI overview,commercial,Organic
kamagra jelly,16,16,1300,50,1.31,https://steroids-uk.com/shop/shopkamagra-jelly/,1,0.05,1.00,0.99,0,"54, 79, 54, 54, 66, 66, 54, 54, 41, 66, 54, 54",2026-08-29,"Sitelinks, Video, AMP, Featured images, People also ask, Related searches, AI overview",informational,Organic
uksteroids,14,14,1300,42,0.59,https://steroids-uk.com/,9,0.49,5.00,0.05,0,"79, 54, 41, 20, 30, 54, 36, 30, 13, 79, 100, 54",2026-07-23,Reviews,commercial,Organic
steroid shop,15,15,1000,54,1.11,https://steroids-uk.com/product-category/bulking/,1,0.05,1.00,0.05,0,"45, 62, 81, 100, 100, 62, 62, 36, 30, 81, 81, 45",2026-09-06,"Local pack, Sitelinks, Reviews",navigational,Organic
anavar for sale,14,14,1000,20,0.93,https://steroids-uk.com/product-category/anavar/,5,0.27,4.00,0.01,0,"62, 62, 62, 100, 81, 62, 45, 62, 62, 81, 62, 62",2026-08-07,AI overview,transactional,Organic
buy testosterone,11,11,1000,49,1.85,https://steroids-uk.com/product-category/testosterones/,5,0.27,9.00,1,0,"55, 67, 67, 100, 76, 100, 100, 76, 67, 76, 67, 76",2026-07-24,"Local pack, Sitelinks, People also ask, Related searches, AI overview",transactional,Organic
steroids uk buy,19,19,1000,50,0.74,https://steroids-uk.com/product-category/stacks/,3,0.16,2.00,0.01,0,"22, 65, 8, 20, 54, 7, 29, 13, 36, 13, 29, 4",2026-07-24,Reviews,transactional,Organic
