Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
testosterone base,4,4,6600,29,2.04,https://steroids-uk.com/blog/testosterone-base-vs-testosterone-suspension-explained/,231,7.31,471.00,0.33,108,"1, 0, 7, 0, 0, 0, 81, 100, 29, 100, 10, 81",2026-09-05,"Video, Image, People also ask, Related searches, AI overview",informational,Organic
uk steroids shop,3,3,1600,28,1.27,https://steroids-uk.com/product-category/injectable/,131,4.15,166.00,0.02,9530000,"36, 36, 54, 22, 29, 54, 36, 16, 29, 43, 29, 54",2026-07-31,,commercial,Organic
test 400,3,3,1600,13,1.30,https://steroids-uk.com/blog/test-400/,70,2.21,91.00,0.25,107,"100, 100, 84, 84, 84, 84, 52, 100, 68, 100, 84, 84",2026-08-17,"Video, People also ask, Related searches, AI overview",informational,Organic
testosterone 400,1,1,260,5,1.30,https://steroids-uk.com/shop/tri-test-400-spharmaqo-labs/,64,2.02,83.00,0.25,104,"20, 30, 45, 6, 8, 16, 20, 8, 6, 10, 24, 10",2026-07-30,"People also ask, Popular products, Related searches",informational,Organic
testosterone base,1,1,6600,29,2.04,https://steroids-uk.com/blog/testosterone-base-vs-testosterone-suspension-explained/,34,1.07,69.00,0.33,108,"1, 0, 7, 0, 0, 0, 81, 100, 29, 100, 10, 81",2026-09-05,"Video, Image, People also ask, Related searches, AI overview",informational,AI overview
buy clenbuterol,2,2,260,9,1.28,https://steroids-uk.com/product-category/clenbuterol/,34,1.07,43.00,0.22,69,"5, 10, 10, 8, 5, 3, 3, 3, 2, 7, 7, 7",2026-09-02,Related searches,transactional,Organic
tri test 400,1,1,210,7,0.00,https://steroids-uk.com/shop/tri-test-400-spharmaqo-labs/,27,0.85,0.00,0.04,106,"65, 65, 43, 81, 65, 65, 43, 81, 65, 65, 81, 53",2026-08-18,"Video, People also ask, Related searches, AI overview",informational,Organic
steroids uk hcg,1,1,110,28,0.00,https://steroids-uk.com/product-category/hcg/,27,0.85,0.00,0.33,75,"2, 2, 2, 2, 2, 2, 100, 2, 2, 15, 15, 10",2026-09-09,Related searches,commercial,Organic
anavar for sale,9,9,1000,22,0.93,https://steroids-uk.com/product-category/anavar/,24,0.76,22.00,0.01,588000,"62, 62, 62, 100, 81, 62, 45, 62, 62, 81, 62, 62",2026-08-01,,transactional,Organic
anavar order,8,8,1000,5,0.93,https://steroids-uk.com/product-category/anavar/,24,0.76,22.00,0.01,598000,"68, 8, 37, 84, 52, 52, 31, 52, 46, 84, 37, 68",2026-08-09,AI overview,informational,Organic
purchase anavar,8,8,880,15,0.93,https://steroids-uk.com/product-category/anavar/,21,0.66,19.00,0.01,216000,"68, 8, 37, 84, 52, 52, 31, 52, 46, 52, 37, 46",2026-08-12,AI overview,informational,Organic
test 300,4,4,320,8,2.17,https://steroids-uk.com/shop/testosterone-enanthate-proper-labs/,20,0.63,43.00,0.28,168,"54, 43, 54, 81, 66, 81, 66, 66, 66, 81, 81, 100",2026-07-19,"Video, People also ask, Related searches, AI overview","commercial, informational",Organic
pharma labs steroids,2,2,140,26,0.00,https://steroids-uk.com/product-category/manufacturers/pharma-grade-manufacturers/,18,0.57,0.00,0.03,95,"65, 42, 53, 80, 26, 42, 53, 80, 42, 42, 65, 42",2026-08-18,"People also ask, Related searches",informational,Organic
clenbuterol for sale,4,4,260,4,0.00,https://steroids-uk.com/product-category/clenbuterol/,16,0.5,0.00,0.1,64,"3, 10, 10, 7, 4, 3, 4, 4, 3, 5, 3, 4",2026-08-27,"Related searches, AI overview",transactional,Organic
buy cabergoline uk,4,4,260,5,1.09,https://steroids-uk.com/product-category/cabaser/,16,0.5,17.00,0.04,18,"53, 43, 82, 66, 66, 100, 53, 66, 43, 43, 53, 35",2026-07-20,"People also ask, Related searches",transactional,Organic
nolvadex uk,2,2,110,16,0.00,https://steroids-uk.com/product-category/nolvadex/,14,0.44,0.00,0.04,87,"29, 22, 22, 22, 22, 18, 14, 14, 18, 18, 18, 22",2026-07-28,"People also ask, Related searches",commercial,Organic
clen for sale,2,2,110,4,0.00,https://steroids-uk.com/product-category/clenbuterol/,14,0.44,0.00,0.1,79,"18, 15, 44, 8, 11, 15, 15, 23, 11, 18, 11, 15",2026-08-27,AI overview,transactional,Organic
test 400 steroid,1,1,110,8,0.00,https://steroids-uk.com/shop/tri-test-400-spharmaqo-labs/,14,0.44,0.00,0.24,105,"17, 28, 23, 28, 35, 28, 17, 28, 17, 35, 28, 23",2026-07-25,"Video, People also ask, Related searches, AI overview",informational,Organic
anavar for sale,12,12,1000,22,0.93,https://steroids-uk.com/product-category/anavar/,13,0.41,12.00,0.01,588000,"62, 62, 62, 100, 81, 62, 45, 62, 62, 81, 62, 62",2026-08-01,,transactional,Organic
uk steroids hcg,3,3,140,26,0.00,https://steroids-uk.com/product-category/hcg/,11,0.34,0.00,0.33,77,"0, 0, 0, 4, 100, 81, 43, 43, 29, 35, 6, 4",2026-09-12,"People also ask, Related searches",commercial,Organic
buy tamoxifen,3,3,140,8,1.09,https://steroids-uk.com/product-category/nolvadex/,11,0.34,11.00,0.07,88,"15, 65, 65, 42, 80, 34, 65, 19, 53, 42, 80, 65",2026-07-27,"Related searches, AI overview",transactional,Organic
anavar uk buy,10,10,480,16,0.00,https://steroids-uk.com/product-category/anavar/,10,0.31,0.00,0.33,317000,"24, 24, 30, 30, 36, 24, 30, 30, 30, 45, 45, 30",2026-08-11,,transactional,Organic
buy clen uk,3,3,110,9,1.19,https://steroids-uk.com/shop/clenbuterol-pharmaqo-labs/,9,0.28,10.00,0.31,159,"53, 17, 28, 100, 23, 17, 23, 28, 17, 23, 23, 28",2026-08-09,"People also ask, Related searches, AI overview",transactional,Organic
clomid for sale uk,5,5,210,6,1.39,https://steroids-uk.com/product-category/clomid/,9,0.28,12.00,0.18,71,"65, 53, 53, 81, 100, 81, 81, 81, 65, 53, 53, 53",2026-09-05,"People also ask, Related searches",transactional,Organic
buy tamoxifen uk,5,5,210,5,0.92,https://steroids-uk.com/product-category/nolvadex/,9,0.28,8.00,0.09,73,"66, 66, 66, 82, 35, 35, 35, 53, 43, 43, 35, 43",2026-08-29,Related searches,transactional,Organic
anavar uk buy,11,11,480,16,0.00,https://steroids-uk.com/product-category/anavar/,9,0.28,0.00,0.33,317000,"24, 24, 30, 30, 36, 24, 30, 30, 30, 45, 45, 30",2026-08-11,,transactional,Organic
test 200,3,3,90,25,1.74,https://steroids-uk.com/shop/testex-c-200-pharmaqolabs/,7,0.22,12.00,0.46,54,"78, 78, 78, 64, 50, 64, 64, 64, 50, 100, 78, 64",2026-07-21,"People also ask, Related searches",informational,Organic
testabol 400,6,6,320,3,1.51,https://steroids-uk.com/shop/tri-test-400-spharmaqo-labs/,7,0.22,10.00,0.34,35,"37, 52, 8, 13, 3, 7, 25, 4, 16, 11, 7, 16",2026-07-25,"People also ask, Related searches, AI overview",informational,Organic
buy hcg uk,10,10,320,23,3.15,https://steroids-uk.com/shop/hcg-pharmaqolabs/,7,0.22,22.00,0.05,74,"43, 66, 81, 81, 66, 81, 81, 81, 54, 66, 43, 54",2026-09-04,Related searches,transactional,Organic
buy trenbolone uk,6,6,210,20,0.00,https://steroids-uk.com/product-category/trenbolone/,7,0.22,0.00,0,211000,"11, 100, 100, 66, 44, 15, 8, 8, 11, 18, 18, 23",2026-08-21,,transactional,Organic
hgh buy uk,7,7,260,23,0.00,https://steroids-uk.com/product-category/growth-hormone/,7,0.22,0.00,0.02,129,"66, 66, 66, 66, 100, 81, 29, 35, 35, 43, 43, 43",2026-09-06,Related searches,transactional,Organic
cabaser,4,4,260,12,0.00,https://steroids-uk.com/product-category/cabaser/,7,0.22,0.00,0,56,"4, 5, 4, 100, 3, 4, 2, 1, 3, 3, 25, 3",2026-07-26,"People also ask, Related searches, AI overview",informational,Organic
tamoxifen buy uk,3,3,90,4,0.77,https://steroids-uk.com/product-category/nolvadex/,7,0.22,5.00,0.05,19,"35, 35, 100, 100, 78, 100, 50, 35, 50, 78, 100, 50",2026-07-20,Related searches,transactional,Organic
purchase anavar online,5,5,210,15,0.00,https://steroids-uk.com/product-category/anavar/,7,0.22,0.00,0.33,174000,"35, 17, 28, 0, 0, 53, 66, 82, 53, 100, 53, 100",2026-08-16,"Sitelinks, AI overview",transactional,Organic
anavar purchase online,7,7,210,3,0.00,https://steroids-uk.com/product-category/anavar/,6,0.19,0.00,0.33,161000,"35, 17, 28, 5, 5, 53, 66, 82, 53, 100, 53, 100",2026-08-12,,transactional,Organic
anavar cost,4,4,140,21,0.00,https://steroids-uk.com/product-category/anavar/,6,0.19,0.00,0.33,78700,"22, 29, 14, 66, 22, 29, 14, 29, 14, 29, 22, 22",2026-08-25,AI overview,informational,Organic
buy hcg,11,11,480,22,2.32,https://steroids-uk.com/product-category/hcg/,6,0.19,13.00,0.07,81,"54, 81, 81, 81, 66, 81, 66, 81, 100, 66, 66, 66",2026-09-01,Related searches,transactional,Organic
testosterone base,1,1,6600,29,2.04,https://steroids-uk.com/blog/testosterone-base-vs-testosterone-suspension-explained/,6,0.19,12.00,0.33,108,"1, 0, 7, 0, 0, 0, 81, 100, 29, 100, 10, 81",2026-09-05,"Video, Image, People also ask, Related searches, AI overview",informational,AI overview
buy clen,4,4,140,22,1.28,https://steroids-uk.com/product-category/clenbuterol/,6,0.19,7.00,0.22,90,"53, 82, 28, 43, 17, 28, 28, 28, 17, 28, 23, 17",2026-08-10,"Related searches, AI overview",transactional,Organic
test suspension,6,6,260,28,1.93,https://steroids-uk.com/blog/testosterone-base-vs-testosterone-suspension-explained/,6,0.19,11.00,0.09,89,"29, 23, 29, 29, 36, 19, 23, 19, 19, 23, 54, 44",2026-08-24,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
