Keyword,Volume,KD,Intent,Cluster,PrimaryURL,SecondaryURLs,Priority,SourceBatch,Status,Notes
buy steroids uk,2900,50,transactional,uk-shop,/,/shop,High,mobile-uk-20260912,mapped,Homepage primary commercial
uk steroid shop,2400,43,commercial,uk-shop,/,/shop|/category/injectable,High,mobile-uk-20260912,mapped,Home + injectable support
uk steroids shop,1600,48,commercial,uk-shop,/,/shop|/category/injectable,High,mobile-uk-20260912|desktop-uk-20260912,mapped,
steroid shop uk,1600,44,commercial,uk-shop,/,/shop,High,mobile-uk-20260912,mapped,
steroids for sale uk,720,43,transactional,uk-shop,/,/shop,High,mobile-uk-20260912,mapped,
steroids uk buy,1000,50,transactional,uk-shop,/shop,/,High,mobile-uk-20260912,mapped,Shop reinforces home cluster
steroid shop,1000,54,navigational,uk-shop,/shop,/,Medium,mobile-uk-20260912,mapped,
steroid uk,590,45,informational,uk-shop,/,/shop,Medium,mobile-uk-20260912,mapped,
buying steroids online,590,42,informational,uk-shop,/,/shop|/faq,Medium,mobile-uk-20260912,mapped,
best site to buy testosterone online uk,1000,39,commercial,testosterone,/shop?q=testosterone,/category/injectable|/product/testosterone-cypionate-proper-labs,High,mobile-uk-20260912,mapped,
buy testosterone,1000,49,transactional,testosterone,/shop?q=testosterone,/category/injectable,High,mobile-uk-20260912,mapped,
testosterone for sale,590,44,transactional,testosterone,/shop?q=testosterone,/product/testosterone-cypionate-proper-labs,High,mobile-uk-20260912,mapped,
testosterone uk buy,880,44,informational,testosterone,/shop?q=testosterone,/category/injectable,High,mobile-uk-20260912,mapped,
testosterone cypionate,2900,61,informational,testosterone,/product/testosterone-cypionate-proper-labs,/shop?q=testosterone|/brand/proper-labs,High,mobile-uk-20260912,mapped,
testosterone propionate,720,52,informational,testosterone,/product/testosterone-propionate-proper-labs,/shop?q=testosterone,High,mobile-uk-20260912,mapped,
testosterone base,8100,12,informational,testosterone,/blog/testosterone-base-vs-suspension,/shop?q=testosterone|/glossary,High,mobile-uk-20260912|desktop-uk-20260912,briefed,Pillar blog gap — brief in geo_content_briefs
test 400,1600,9,informational,testosterone,/product/tri-test-400-spharmaqo-labs,/brand/pharmaqo-labs|/blog,High,mobile-uk-20260912|desktop-uk-20260912,mapped,
clenbuterol tablet,3600,64,informational,clen-fat-loss,/category/fat-loss,/product/clenbuterol-proper-labs|/product/clenbuterol-pharmaqo-labs,High,mobile-uk-20260912,mapped,
clen pills,2900,67,informational,clen-fat-loss,/category/fat-loss,/product/clenbuterol-proper-labs,High,mobile-uk-20260912,mapped,
clen tablets,880,63,informational,clen-fat-loss,/category/fat-loss,/product/clenbuterol-pharmaqo-labs,Medium,mobile-uk-20260912,mapped,
kamagra kamagra,2900,55,informational,kamagra,/category/kamagra,/product/shopkamagra-jelly,Medium,mobile-uk-20260912,mapped,Duplicate-style query — category owner
kamagra 100mg,1600,54,informational,kamagra,/product/shopkamagra-jelly,/category/kamagra,High,mobile-uk-20260912,mapped,
kamagra uk,1600,61,informational,kamagra,/category/kamagra,/product/shopkamagra-jelly,High,mobile-uk-20260912,mapped,
kamagra jelly,1300,50,informational,kamagra,/product/shopkamagra-jelly,/category/kamagra,High,mobile-uk-20260912,mapped,
kamagra oral jelly 100mg,1300,51,informational,kamagra,/product/shopkamagra-jelly,/category/kamagra,High,mobile-uk-20260912,mapped,
kamagra oral jelly where to buy,1000,55,transactional,kamagra,/product/shopkamagra-jelly,/category/kamagra,High,mobile-uk-20260912,mapped,
kamagra oral jelly uk,1000,53,informational,kamagra,/product/shopkamagra-jelly,/category/kamagra,High,mobile-uk-20260912,mapped,
purchase anavar,1000,6,transactional,anavar,/product/anavar-10-pharmaqo-labs,/category/oral|/shop?q=anavar,High,mobile-uk-20260912|desktop-uk-20260912,mapped,
anavar for sale,4400,20,transactional,anavar,/shop?q=anavar,/category/oral|/product/anavar10-proper-labs,High,mobile-uk-20260912|desktop-uk-20260912|gap-uk-20260913,mapped,"| Gap: competitor ranks P66, we unranked"
anavar order,1000,21,commercial,anavar,/shop?q=anavar,/category/oral,High,mobile-uk-20260912|desktop-uk-20260912|gap-uk-20260913,mapped,"| Gap: competitor ranks P93, we unranked"
anavar buy,880,11,transactional,anavar,/shop?q=anavar,/product/anavar10-proper-labs,High,mobile-uk-20260912|desktop-uk-20260912,mapped,
anavar uk,1000,30,commercial,anavar,/category/oral,/shop?q=anavar|/blog,High,mobile-uk-20260912|desktop-uk-20260912,mapped,
trenbolone acetate price 10ml,1000,43,commercial,tren,/product/trenbolone-acetate-proper-labs,/shop?q=trenbolone|/category/injectable,High,mobile-uk-20260912,mapped,
deca steroid,1000,68,informational,deca-boldenone,/product/deca-300-nandrolone-decanoate-syncom-labs,/shop?q=deca|/category/injectable,High,mobile-uk-20260912,mapped,
boldenone undecylenate,720,57,informational,deca-boldenone,/product/boldenone-proper-labs,/shop?q=boldenone|/category/injectable,High,mobile-uk-20260912,mapped,
hgh injections,880,76,informational,hgh,/category/hgh,/product/qomatropin-12mg-36iu-cartridge-pharmaqo-labs,High,mobile-uk-20260912,mapped,
mk 677 uk,720,13,commercial,mk677,/category/sarms,/product/mk677-ibutamoren-liquid-25mg-30ml-syncom-labs|/shop?q=mk677,High,mobile-uk-20260912|desktop-uk-20260912,mapped,
pharmaqo,2900,18,informational,pharmaqo,/brand/pharmaqo-labs,/,High,mobile-uk-20260912|desktop-uk-20260912|gap-uk-20260913,mapped,"| Gap: competitor ranks P51, we unranked"
pharmaqo labs,1300,5,informational,pharmaqo,/brand/pharmaqo-labs,/product/tri-test-400-spharmaqo-labs,High,mobile-uk-20260912|desktop-uk-20260912|gap-uk-20260913,mapped,"| Gap: competitor ranks P32, we unranked"
steroids uk,unknown,unknown,commercial,uk-shop,/,/shop,High,legacy-seed,mapped,Brand term retained
lab tested steroids uk,unknown,unknown,commercial,uk-shop,/,/shop,High,legacy-seed,mapped,Differentiator
anabolic steroids uk delivery,unknown,unknown,transactional,uk-shop,/delivery-and-returns,/,Medium,legacy-seed,mapped,
steroids uk next day delivery,unknown,unknown,transactional,uk-shop,/delivery-and-returns,/,Medium,legacy-seed,mapped,
buy sarms uk,720,unknown,transactional,mk677,/category/sarms,/,High,legacy-seed|desktop-uk-20260912,mapped,
pct uk,unknown,unknown,commercial,pct,/category/pct,/what-is-pct,High,legacy-seed,mapped,
what are sarms,unknown,unknown,informational,mk677,/sarms-vs-steroids,/category/sarms|/blog,Medium,legacy-seed,mapped,
how to pay crypto steroids uk,unknown,unknown,navigational,uk-shop,/crypto-payment-guides,/payment-methods,Medium,legacy-seed,mapped,
steroids uk cycle guide,unknown,unknown,informational,uk-shop,/cycle-builder,/blog,Medium,legacy-seed,mapped,
oral steroids uk,unknown,unknown,transactional,anavar,/category/oral,/,High,legacy-seed,mapped,
injectable steroids uk,unknown,unknown,transactional,testosterone,/category/injectable,/,High,legacy-seed,mapped,
steroids uk reviews,unknown,unknown,commercial,uk-shop,/about-us,/,Medium,legacy-seed,mapped,
is it legal to buy steroids uk,unknown,unknown,informational,uk-shop,/faq,/,High,legacy-seed,mapped,
best steroids for beginners uk,unknown,unknown,informational,uk-shop,/blog,/cycle-builder,High,legacy-seed,mapped,
winstrol vs anavar,unknown,unknown,informational,anavar,/blog,/shop?q=winstrol|/shop?q=anavar,Medium,legacy-seed,mapped,
trenbolone side effects,unknown,unknown,informational,tren,/blog,/shop?q=trenbolone,Low,legacy-seed,mapped,
steroids uk cryptocurrency payment,unknown,unknown,navigational,uk-shop,/payment-methods,/crypto-payment-guides,Low,legacy-seed,mapped,
steroids-uk.com,720,53,navigational,skip,—,—,Skip,mobile-uk-20260912,skip,Competitor brand — do not target
uksteroids.shop,1600,57,commercial,skip,—,—,Skip,mobile-uk-20260912,skip,Competitor brand
uksteroids,1300,42,commercial,skip,—,—,Skip,mobile-uk-20260912,skip,Competitor brand
steroidsuk,1300,41,commercial,skip,—,—,Skip,mobile-uk-20260912,skip,Competitor brand
steroids-uk,1000,52,navigational,skip,—,—,Skip,mobile-uk-20260912,skip,Competitor brand
uksteroidsshop,720,39,navigational,skip,—,—,Skip,mobile-uk-20260912,skip,Competitor brand
eroids uk,1000,30,navigational,skip,—,—,Skip,mobile-uk-20260912,skip,Competitor typo
uk sarms,4400,21,"commercial, navigational",mk677,/category/sarms,/shop?q=sarms|/,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/sarms/
bpc 157 uk,2900,9,informational,peptides,/product/bpc-157-pharmaqo-labs-5mg,/category/peptides,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/bpc-157-pharmaqo-labs-5mg/
uksteroidshop,2400,8,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
sarms uk,2400,28,navigational,mk677,/category/sarms,/,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/sarms/
upsteroids,1900,9,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
supreme steroids,1900,19,commercial,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
400/12,1600,26,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
mk677 uk,1600,18,informational,mk677,/product/mk677-ibutamoren-liquid-25mg-30ml-syncom-labs,/category/sarms|/shop?q=mk677,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/pharmaqo-labs-mk677/
enclomiphene uk,1600,13,informational,pct,/category/pct,/what-is-pct|/shop?q=clomid,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/clomid/
igf 1 lr3,1300,28,informational,peptides,/product/igf1-lr3-pharmaqo,/category/peptides,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/igf1-lr3-pharmaqo/
mk667,1300,27,informational,mk677,/product/mk677-ibutamoren-liquid-25mg-30ml-syncom-labs,/category/sarms,Medium,desktop-uk-20260912,mapped,Typo of mk677 — support only
clomid tablets,1300,28,informational,pct,/category/pct,/product/clomid-pharmaqo-labs,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/clomid/
liv 52,1000,12,informational,pct,/shop?q=liv+52,/category/pct|/,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/himalaya-liv-52/
pharma labs,880,17,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
400 12,880,15,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
cipla vs arimidex,720,28,commercial,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
provixin,720,23,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
t bolin,720,28,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
critical anabolics,590,7,commercial,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
